"","score","text","review"
"1",-2,"RBI bars banks from issuing LoUs in Nirav Modi scam fallout #NiravModi #PNBScam #RBI #LoU https://t.co/869SOVLH68 https://t.co/ZfbPrqQGqw","negative"
"2",0,"RT @gautm_buddha: From the bare perusal of #PNBScam only two possibilities come at the fore:-

1) Either Raghuram Rajan was one of the most…","neutral"
"3",2,"RT @NH_India: #Congress President Rahul Gandhi alleged that Finance Minister Arun Jaitley was silent on the #PNBFraud case to ""protect his…","positive"
"4",-1,"RT @iloveindiatoo: @OfficeOfRG ji, @INCIndia has planted the poisonous tree &amp; you are targeting those who have tried to sell the fruits of…","negative"
"5",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"6",-1,"#LoUban or #LoUbandi is the new ban on effect to curb corruption by #Modi govt #PNBscam","negative"
"7",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"8",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"9",0,"RT @Follow1God: #PNBScam
There are only one lord
LORD KABIR
He is immortal, eternal
Watch Sadhna tv Evening 7:40PM
#PNBFraud 
Lord has come…","neutral"
"10",-1,"RT @vikramwkarve: #BigBankScam
After #PNBScam - scams are being revealed in almost every bank
Why so many corrupt individuals in top #Bank…","negative"
"11",-2,"RT @indiacharts: “PSU Banks Are A Train Wreck In Slow Motion” a Year of charts here https://t.co/e2WBMLDZ5J #PNBScam #PSU #psubanks #Public…","negative"
"12",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"13",-2,"RT @indiacharts: “PSU Banks Are A Train Wreck In Slow Motion” a Year of charts here https://t.co/e2WBMLDZ5J #PNBScam #PSU #psubanks #Public…","negative"
"14",0,"RT @WIONews: In a major decision, #RBI today banned banks from issuing Letters of Undertaking (LoUs) following the #PNBScam.

https://t.co/…","neutral"
"15",0,"RT @AITCofficial: #BudgetSession #RajyaSabha Sukhendu Sekhar Roy makes a Point of Order regarding #PNBScam | WATCH https://t.co/G3oHy1oduS","neutral"
"16",-2,"RT @shuvankr: Breaking News: 
Scam tainted Banks in India are rising in stock value .. 
#PNB one of the best performing stock 
What does it…","negative"
"17",0,"RT @SandipGhose: ""Vendetta nahin Mandate-ta"" - why @narendramodi now needs to go full steam against scamsters to discharge his mandate to t…","neutral"
"18",1,"RT @SandipGhose: Why PM #Modi needs to put the cleaning-up act on an over-drive now to reclaim his anti-corruption crusader credentials. #P…","positive"
"19",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"20",0,"RT @dhruv_rathee: Learn the truth behind #PNBScam and #NiravModi and see who is responsible for it!

Watch Video: https://t.co/6BrUsmt6sK…","neutral"
"21",0,"RT @AITCofficial: #BudgetSession #RajyaSabha Sukhendu Sekhar Roy makes a Point of Order regarding #PNBScam","neutral"
"22",0,"RT @AITCofficial: #BudgetSession #RajyaSabha Sukhendu Sekhar Roy makes a Point of Order regarding #PNBScam | WATCH https://t.co/G3oHy1oduS","neutral"
"23",0,"RT @AITCofficial: #BudgetSession #RajyaSabha Sukhendu Sekhar Roy makes a Point of Order regarding #PNBScam | FULL TRANSCRIPT &gt;&gt; https://t.c…","neutral"
"24",1,"#raghuramrajan says was unaware of everything,80 20 gold scheme was launched to make india Sone ki Chidiya.#PNBScam… https://t.co/xbpKMvwpg6","positive"
"25",-2,"RT @indiacharts: “PSU Banks Are A Train Wreck In Slow Motion” a Year of charts here https://t.co/e2WBMLDZ5J #PNBScam #PSU #psubanks #Public…","negative"
"26",1,"RT @DebashishHiTs: Dear @OfficeOfRG Jupiter's Escape Velocity defeated by speed of #CorruptCongiCrooks @PChidambaram_IN #CongressExposed #P…","positive"
"27",1,"Why PM #Modi needs to put the cleaning-up act on an over-drive now to reclaim his anti-corruption crusader credenti… https://t.co/RlnHI93zbJ","positive"
"28",0,"@RBI stops issuing #LoU and #LoC for trade credit . Big step after #PNBscam https://t.co/6glkyTGr6v","neutral"
"29",0,"RT @atmadiprayET: Death of a banking instrument: RBI banned Letter of Undertaking or Letter of Comfort for trade finance for importing good…","neutral"
"30",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"31",0,"RT @MahikaInfra: ""NATION WANTS TO KNOW""

When will ""Lutyen Media"" start grilling @PChidambaram_IN
&amp; RaghuRam Rajan in #PNBScam for their ""D…","neutral"
"32",-2,"@RBI, @PMOIndia, @timesofindia, #PnbScam, - Shame on Discontinuity of trading instruments. This shows hollowness of… https://t.co/zd9GLc0ayT","negative"
"33",-1,"Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley #NiravModi #PNBScam https://t.co/3IwEqClFyi https://t.co/Y54Bh31hWF","negative"
"34",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"35",0,"RT @SandipGhose: ""Vendetta nahin Mandate-ta"" - why @narendramodi now needs to go full steam against scamsters to discharge his mandate to t…","neutral"
"36",-3,"From Harshad mehta scam to till date we have been hearing about lapse in system..fact is scams go on in PSU banks a… https://t.co/q8GkTyEJ7j","negative"
"37",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"38",0,"From the bare perusal of #PNBScam only two possibilities come at the fore:-

1) Either Raghuram Rajan was one of th… https://t.co/14GWsQWXxu","neutral"
"39",-2,"RT @mshiteshmohan: #<U+0926><U+0926><U+094D><U+0926><U+093E><U+091C><U+0940><U+0915><U+0939><U+093F><U+0928> :
Is this not a notorious display of half truth to malign BJP? Law firm was retained 4 representing #proper…","negative"
"40",1,"RT @DebashishHiTs: Dear @OfficeOfRG Jupiter's Escape Velocity defeated by speed of #CorruptCongiCrooks @PChidambaram_IN #CongressExposed #P…","positive"
"41",-3,"RT @geetv79: Have Any of These Big-Time Fraudsters 
Been Arrested Yet<U+2753>

Why Has Chowkidaar Failed to Arrest &amp; Prosecute FatCats Scamming Ba…","negative"
"42",-3,"RT @firstpost: The #NarendraModi government is killing democracy by orchestrating protests on various issues in the #Parliament to avoid di…","negative"
"43",1,"RT @report_real: It's now revealed that our FM Arun Jaitley's silence on the #PNBScam was to protect his lawyer daughter: Congress Presiden…","positive"
"44",-1,"RT @ETNOWlive: #ETNOWExplainer | Rs 12,600 cr #PNBScam has pushed @RBI to take firm action to avoid a repeat of the fiasco as it today bann…","negative"
"45",-3,"RT @firstpost: The #NarendraModi government is killing democracy by orchestrating protests on various issues in the #Parliament to avoid di…","negative"
"46",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"47",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
